,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
798,HP Elite X360 830 G11 (970P7ET),HP,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,32.0,True,13.3,1920,1200,60.0,65300.7,,2161.5,,,2161.5,16331.0
799,MSI Thin 15 B12VE-1892XTRP427,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i7-12650H,32.0,False,15.6,1920,1080,144.0,52980.83,,,14411.0,,14411.0,21884.0
800,Lenovo Thinkpad E16 G2 21MBSTKY42 BT32,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,32.0,False,16.0,1920,1200,60.0,61896.16,,5506.0,,,5506.0,24826.0
801,MSI Thin 15 B12VE-1892XTRP359,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i7-12650H,12.0,False,15.6,1920,1080,144.0,54309.94,,,14411.0,,14411.0,21884.0
802,Casper Excalibur G870.1362-DEA0A-C,Casper,Oyun,NVIDIA GeForce RTX 4050,Intel Core i7-13620H,32.0,False,15.6,1920,1080,144.0,51999.0,,,14411.0,,14411.0,24148.0
803,Lenovo ThinkPad E14 G6 21M8S0LRTX ZI710,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,64.0,False,14.0,1920,1200,60.0,46560.0,,2161.5,,,2161.5,16331.0
804,Lenovo LOQ 15IAX9 83GS007WTR05,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12450HX,32.0,False,15.6,1920,1080,144.0,40193.39,,,14411.0,,14411.0,18228.0
805,HP Victus Gaming 16-s0023nt (7Z4N1EA),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,16.0,False,16.1,1920,1080,144.0,34990.0,,19544.0,,,19544.0,22926.0
806,HP ZBook Firefly 14 İnç G11 (86A85EA),HP,İş/Mobil,NVIDIA RTX A500,Intel Core Ultra 7 155H,32.0,False,14.0,1920,1200,60.0,78889.0,,,,,,24826.0
807,MSI Pulse 17 AI C1VFKG-083XTR,MSI,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core Ultra 7 155H,32.0,False,17.0,1920,1200,165.0,63479.0,,,17452.0,,17452.0,24826.0
808,Lenovo Thinkpad E16 G2 21MA002UTXP18,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,16.0,1920,1200,60.0,50897.78,,5506.0,,,5506.0,24826.0
809,Lenovo Thinkpad E16 G2 21MA002UTX Zi719,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,16.0,1920,1200,60.0,53002.56,,5506.0,,,5506.0,24826.0
810,Lenovo Thinkpad E16 G2 21MA002UTX ZI731,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,16.0,1920,1200,60.0,53002.56,,5506.0,,,5506.0,24826.0
811,HP Victus Gaming 16-s0018nt (7Z4M8EA),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,16.0,False,16.1,1920,1080,144.0,37599.0,,19544.0,,,19544.0,22926.0
812,Dell Latitude 3450 WN012L54501425 (i7 1355U),Dell,Genel Kullanım,Intel Iris Xe Graphics Eligible,Intel Core i7-1355U,96.0,False,14.0,1920,1080,60.0,65778.42,,,,1971.0,1971.0,14252.0
